feature,missing_count,missing_rate,target_rate_missing,target_rate_observed,target_rate_diff,abs_target_rate_diff
asof_batter_success_rate,830,0.0005626767686354478,0.6024096385542169,0.5237216993994284,0.07868793915478856,0.07868793915478856
asof_batter_middle_rate,830,0.0005626767686354478,0.6024096385542169,0.5237216993994284,0.07868793915478856,0.07868793915478856
asof_pitcher_fastball_rate,792,0.0005369156635653912,0.5517676767676768,0.5237509326460015,0.02801674412167532,0.02801674412167532
asof_pitcher_success_rate,792,0.0005369156635653912,0.5517676767676768,0.5237509326460015,0.02801674412167532,0.02801674412167532
asof_pitcher_ball_rate,792,0.0005369156635653912,0.5517676767676768,0.5237509326460015,0.02801674412167532,0.02801674412167532
asof_pitcher_middle_rate,792,0.0005369156635653912,0.5517676767676768,0.5237509326460015,0.02801674412167532,0.02801674412167532
asof_pitcher_reverse_rate,792,0.0005369156635653912,0.5517676767676768,0.5237509326460015,0.02801674412167532,0.02801674412167532
asof_pitcher_strike_rate,792,0.0005369156635653912,0.5517676767676768,0.5237509326460015,0.02801674412167532,0.02801674412167532
asof_pitcher_breaking_rate,792,0.0005369156635653912,0.5517676767676768,0.5237509326460015,0.02801674412167532,0.02801674412167532
asof_pitcher_offspeed_rate,792,0.0005369156635653912,0.5517676767676768,0.5237509326460015,0.02801674412167532,0.02801674412167532
asof_pitcher_prev3_game_middle_rate,29185,0.019785206617621138,0.5508309062874764,0.523219681487122,0.027611224800354495,0.027611224800354495
asof_pitcher_prev5_game_middle_rate,29185,0.019785206617621138,0.5508309062874764,0.523219681487122,0.027611224800354495,0.027611224800354495
asof_pitcher_prev5_game_success_rate,29185,0.019785206617621138,0.5508309062874764,0.523219681487122,0.027611224800354495,0.027611224800354495
asof_pitcher_prev3_game_success_rate,29185,0.019785206617621138,0.5508309062874764,0.523219681487122,0.027611224800354495,0.027611224800354495
asof_pitcher_prev1_game_success_rate,29185,0.019785206617621138,0.5508309062874764,0.523219681487122,0.027611224800354495,0.027611224800354495
asof_pitcher_prev1_game_middle_rate,29185,0.019785206617621138,0.5508309062874764,0.523219681487122,0.027611224800354495,0.027611224800354495
