model,feature,is_pitcher_id,is_historical
LR-A-NoPitcherID,season,False,False
LR-A-NoPitcherID,game_month,False,False
LR-A-NoPitcherID,game_dayofweek,False,False
LR-A-NoPitcherID,inning,False,False
LR-A-NoPitcherID,top_bottom,False,False
LR-A-NoPitcherID,game_type,False,False
LR-A-NoPitcherID,balls_before,False,False
LR-A-NoPitcherID,strikes_before,False,False
LR-A-NoPitcherID,outs_before,False,False
LR-A-NoPitcherID,run_top_before,False,False
LR-A-NoPitcherID,run_bot_before,False,False
LR-A-NoPitcherID,run_total_before,False,False
LR-A-NoPitcherID,score_diff_home,False,False
LR-A-NoPitcherID,score_diff_pitcher_team,False,False
LR-A-NoPitcherID,runner_on_1b,False,False
LR-A-NoPitcherID,runner_on_2b,False,False
LR-A-NoPitcherID,runner_on_3b,False,False
LR-A-NoPitcherID,num_runners_on,False,False
LR-A-NoPitcherID,base_state,False,False
LR-A-NoPitcherID,home_win_expectancy,False,False
LR-A-NoPitcherID,away_win_expectancy,False,False
LR-A-NoPitcherID,li,False,False
LR-A-NoPitcherID,batter_id,False,False
LR-A-NoPitcherID,pitcher_hand,False,False
LR-A-NoPitcherID,batter_hand,False,False
LR-A-NoPitcherID,pitcher_team_id,False,False
LR-A-NoPitcherID,batter_team_id,False,False
LR-B-PitcherID,season,False,False
LR-B-PitcherID,game_month,False,False
LR-B-PitcherID,game_dayofweek,False,False
LR-B-PitcherID,inning,False,False
LR-B-PitcherID,top_bottom,False,False
LR-B-PitcherID,game_type,False,False
LR-B-PitcherID,balls_before,False,False
LR-B-PitcherID,strikes_before,False,False
LR-B-PitcherID,outs_before,False,False
LR-B-PitcherID,run_top_before,False,False
LR-B-PitcherID,run_bot_before,False,False
LR-B-PitcherID,run_total_before,False,False
LR-B-PitcherID,score_diff_home,False,False
LR-B-PitcherID,score_diff_pitcher_team,False,False
LR-B-PitcherID,runner_on_1b,False,False
LR-B-PitcherID,runner_on_2b,False,False
LR-B-PitcherID,runner_on_3b,False,False
LR-B-PitcherID,num_runners_on,False,False
LR-B-PitcherID,base_state,False,False
LR-B-PitcherID,home_win_expectancy,False,False
LR-B-PitcherID,away_win_expectancy,False,False
LR-B-PitcherID,li,False,False
LR-B-PitcherID,batter_id,False,False
LR-B-PitcherID,pitcher_hand,False,False
LR-B-PitcherID,batter_hand,False,False
LR-B-PitcherID,pitcher_team_id,False,False
LR-B-PitcherID,batter_team_id,False,False
LR-B-PitcherID,pitcher_id,True,False
LR-C-Historical,season,False,False
LR-C-Historical,game_month,False,False
LR-C-Historical,game_dayofweek,False,False
LR-C-Historical,inning,False,False
LR-C-Historical,top_bottom,False,False
LR-C-Historical,game_type,False,False
LR-C-Historical,balls_before,False,False
LR-C-Historical,strikes_before,False,False
LR-C-Historical,outs_before,False,False
LR-C-Historical,run_top_before,False,False
LR-C-Historical,run_bot_before,False,False
LR-C-Historical,run_total_before,False,False
LR-C-Historical,score_diff_home,False,False
LR-C-Historical,score_diff_pitcher_team,False,False
